State,City,Water Source,Pollutant Type,Pollution Level,pH,Dissolved Oxygen,Temperature,Year,Safe Limit
Bihar,Darbhanga,River,Industrial Waste,Low,7.19,5.88,18.5,2022,No
Maharashtra,Nagpur,Borewell,Arsenic,Severe,6.0,2.37,29.5,2024,Yes
Haryana,Panipat,Pond,Mercury,severe,8.32,6.31,28.8,2018,No
Maharashtra,Aurangabad,Pond,Pesticides,Medium,6.46,4.88,13.6,2021,Yes
West Bengal,Howrah,Well,Fluoride,High,6.87,2.92,21.6,2018,No
Odisha,Bhubaneswar,Groundwater,mercury,Medium,5.23,7.11,17.9,2015,YES
Assam,Jorhat,Well,Industrial Waste,MEDIUM,7.45,4.54,26.6,2016,No
Uttar Pradesh,Agra,Canal,Fluoride,Low,7.27,5.38,24.5,2021,No
Maharashtra,Nashik,groundwater,Chromium,Severe,5.31,3.42,14.1,2019,YES
Gujarat,Surat,Reservoir,Chromium,Medium,7.68,3.84,28.3,2018,No
Punjab,Jalandhar,Pond,Nitrate,High,6.32,6.19,29.6,2024,Yes
Kerala,Thiruvananthapuram,Lake,INDUSTRIAL WASTE,High,7.61,2.01,20.2,2015,Yes
Kerala,Kochi,Groundwater,Fluoride,Medium,8.21,5.15,31.4,2015,Yes
Maharashtra,Mumbai,Borewell,Lead,SEVERE,7.56,2.06,24.5,2022,Yes
Karnataka,Mysuru, Borewell ,Arsenic,High,6.6,5.93,17.5,2018,Yes
Rajasthan,Jodhpur,Well,Fluoride,Severe,6.97,2.59,,2023,No
Maharashtra,Nashik,Borewell,Plastic Waste,Low,6.88,,16.5,2024,No
Kerala,Thrissur,Borewell,Arsenic,High,6.72,7.04,26.8,2018,Yes
Karnataka,Belgaum,River,Pesticides,Medium,5.25,5.49,16.0,2022,Yes
Karnataka,Belgaum,Lake, Pesticides ,low,6.08,8.84,30.1,2017,No
Tamil Nadu,Trichy,groundwater,Mercury,High,8.45,6.38,27.7,2020,Yes
West Bengal,Siliguri,Well,Plastic Waste,medium,6.88,6.2,23.5,2020,Yes
Punjab,Patiala,Pond,Sewage,Low,7.35,5.95,23.0,2018,Yes
Rajasthan,Jodhpur,Canal,Plastic Waste,Medium,7.54,7.97,25.8,2016,Yes
Bihar,Bhagalpur,Pond,Cadmium,MEDIUM,7.5,3.76,24.5,2017,Yes
Madhya Pradesh,Jabalpur,Groundwater,Lead, High ,8.13,6.61,24.4,2019,No
Punjab,Ludhiana,WELL,Plastic Waste,Severe,7.43,5.02,14.8,2015,No
Punjab,Patiala,Canal,Mercury,High,6.87,7.47,13.0,2021,Yes
Uttar Pradesh,Lucknow,River,Chromium,Low,6.63,3.71,27.3,2016,Yes
Odisha,Cuttack,Well,Lead,Medium,,4.79,14.5,2024,YES
Maharashtra,Aurangabad,Canal,mercury,High,5.71,4.56,26.5,2015,No
Uttar Pradesh,Agra,Lake,Arsenic,Severe,7.24,6.42,16.1,2017,No
Bihar,Darbhanga,River,Cadmium,HIGH,7.28,2.42,17.3,2017,Yes
Delhi,Dwarka,Canal,Cadmium,Medium,6.27,5.84,20.1,2024,No
Punjab,Patiala,Reservoir,Fluoride,High,7.85,,11.2,2016,No
Tamil Nadu,Madurai,groundwater,Chromium,Severe,7.54,5.63,22.9,2020,No
Karnataka,Mysuru,Well,nitrate,HIGH,8.28,6.03,27.6,2016.0,No
Maharashtra,Pune,Canal,Sewage,High,7.18,6.83,24.9,2023.0,No
Delhi,Rohini, Pond ,Nitrate,SEVERE,7.19,5.74,16.0,2018,No
Rajasthan,Jodhpur,Groundwater,sewage,Low,6.25,7.11,28.6,2020,yes
Odisha,Sambalpur,Borewell,Pesticides,Medium,6.29,6.1,15.2,2022,No
Punjab,Amritsar,Reservoir,MERCURY,High,7.15,5.52,32.2,2021,No
Madhya Pradesh,Indore,Reservoir,Fluoride,Medium,9.13,8.01,25.2,2020,No
Tamil Nadu,Salem,Well,SEWAGE,Severe,6.94,6.09,25.6,2016,No
Gujarat,Surat,Pond,Cadmium,Low,6.83,6.84,27.2,2017,No
Delhi,Karol Bagh,pond,NITRATE,Medium,5.51,6.27,25.0,2016,No
Bihar,Muzaffarpur,Borewell,FLUORIDE,Severe,6.08,7.78,19.7,2019,No
Bihar,Muzaffarpur,Pond,Arsenic,High,8.33,3.44,23.0,2023,yes
Haryana,Ambala,reservoir,Lead,Medium,6.27,5.36,25.7,2024,NO
Gujarat,Surat,Reservoir,FLUORIDE, Medium ,6.17,5.96,19.5,2015,No
Punjab,Jalandhar,Borewell,Pesticides,Low,,7.35,28.4,2021,No
Kerala,Thrissur,Lake,Industrial Waste,Low,6.3,5.87,21.7,2020.0,yes
Assam,Nagaon,Well,Mercury,Low,,9.24,23.8,2016,Yes
Gujarat,Bhavnagar,River,Arsenic,severe,7.29,3.25,28.6,2023,Yes
Delhi,Saket,Borewell,Chromium,Severe,7.16,7.92,25.8,2024,YES
Madhya Pradesh,Gwalior,Pond,Nitrate,Low,7.14,4.46,,2024,No
Assam,Guwahati,Well,Nitrate,Medium,7.3,5.27,23.7,2021,Yes
Uttar Pradesh,Varanasi,Reservoir,Mercury,Low,6.7,4.1,30.7,2018,no
Rajasthan,Udaipur,Borewell,Cadmium,Medium,7.46,5.4,17.0,2017,No
Delhi,Saket,Lake,Fluoride,severe,7.0,7.46,35.8,2015,Yes
Punjab,Amritsar,Lake,Lead,High,4.5,6.44,17.9,2021,No
Odisha,Cuttack,Pond,SEWAGE,Severe,6.66,3.63,15.8,2016,Yes
Punjab,Jalandhar,Canal, Cadmium ,High,7.24,4.84,24.7,2017,Yes
Uttar Pradesh,Noida,Lake,Industrial Waste,Low,6.19,10.36,25.2,2024,no
Punjab,Amritsar,borewell,Cadmium,Medium,7.68,2.5,26.7,2023,No
Madhya Pradesh,Ujjain,Groundwater,fluoride,Low,7.87,6.66,30.8,2024,Yes
Tamil Nadu,Coimbatore,Groundwater,Arsenic,High,7.25,3.47,36.2,2016,No
Bihar,Gaya,Lake,INDUSTRIAL WASTE,Medium,9.15,5.82,22.6,2024,Yes
West Bengal,Howrah,Well,Chromium,High,6.25,2.41,25.2,2015,Yes
Assam,Jorhat,Reservoir,pesticides,High,6.95,2.78,27.2,2020,Yes
Assam,Guwahati,Borewell,Arsenic,Severe,7.88,1.21,21.2,2019,No
Rajasthan,Udaipur,Borewell,Sewage,Low,7.2,4.95,22.9,2018,Yes
Gujarat,Ahmedabad,River,Nitrate,Low,7.84,4.61,18.2,2019,Yes
Tamil Nadu,Chennai,Canal,lead,Low,7.14,4.02,29.6,2024.0,NO
Tamil Nadu,Coimbatore,LAKE,CADMIUM,Medium,7.42,5.86,25.6,2023,Yes
Madhya Pradesh,Jabalpur,Groundwater,Lead,High,6.38,6.98,19.2,2018,Yes
Madhya Pradesh,Ujjain,Borewell,Arsenic,low,9.29,6.46,24.7,2023,yes
Maharashtra,Nashik,Well,Fluoride,High,6.89,5.68,22.5,2023,Yes
Maharashtra,Aurangabad,Canal,Plastic Waste,high,7.83,4.81,24.9,2018,Yes
Madhya Pradesh,Gwalior,Reservoir,CADMIUM,Medium,5.65,3.85,30.6,2017,Yes
Odisha,Berhampur,Borewell,Fluoride,Low,5.46,3.49,30.2,2020,No
Maharashtra,Nagpur,Canal,Industrial Waste,Medium,6.37,6.55,25.3,2021,Yes
Rajasthan,Jaipur,Groundwater,Sewage,High,6.23,4.77,25.4,2017,no
Gujarat,Ahmedabad,,FLUORIDE,Severe,,1.99,24.7,2020,No
Odisha,Bhubaneswar,Canal,ARSENIC,High,6.82,5.38,24.5,2015,YES
Tamil Nadu,Coimbatore,River,Nitrate,High,6.5,0.5,34.3,2021,Yes
Madhya Pradesh,Indore,RESERVOIR,Mercury,Severe,6.61,4.94,25.1,2017,yes
Tamil Nadu,Madurai,BOREWELL,Pesticides,HIGH,7.48,6.15,32.8,2022,Yes
Karnataka,Hubli,Pond,Industrial Waste,Low,6.23,7.06,27.8,2023,Yes
Haryana,Panipat,Canal,Industrial Waste,MEDIUM,6.87,4.66,16.0,2017,Yes
Punjab,Chandigarh,River,Arsenic,High,6.72,7.16,26.4,2023,Yes
Uttar Pradesh,Kanpur,Lake,Industrial Waste,Low,7.72,7.16,18.7,2017,Yes
Rajasthan,Jodhpur,Groundwater,Sewage,,6.25,4.49,27.7,2016,Yes
Kerala,Kollam,,Nitrate,High,7.19,1.97,17.4,2021,No
Assam,Jorhat,Canal,,Severe,6.58,5.31,37.2,2017,Yes
Odisha,Cuttack,Pond,Pesticides,Medium,8.35,3.14,26.0,2018,Yes
Uttar Pradesh,Noida,GROUNDWATER,Cadmium,High,7.8,6.54,26.5,2021,Yes
Madhya Pradesh,Indore,Well,Fluoride,Severe,5.18,3.57,33.6,2018,No
West Bengal,Kolkata,Borewell,fluoride,Severe,6.29,5.49,22.9,2019,No
Bihar,Bhagalpur,Borewell,Sewage,Severe,7.07,5.63,23.2,2024,no
West Bengal,Siliguri,Reservoir,Chromium,MEDIUM,7.42,8.24,19.3,2022,yes
Uttar Pradesh,Agra,Canal,Sewage,High,5.13,4.92,32.2,2019,Yes
Uttar Pradesh,Noida,reservoir,Pesticides,High,6.56,,26.5,2019,Yes
Assam,Jorhat,Reservoir,Pesticides,Low,6.28,4.88,27.9,2022,No
West Bengal,Kolkata,River,Pesticides,High,4.5,6.21,24.2,2023,Yes
Assam,Silchar,,Nitrate,Low,6.57,5.17,18.5,2024,No
Karnataka,Bengaluru,Groundwater,SEWAGE,Low,5.8,5.16,28.6,2024,No
Haryana,Gurugram,Pond,Mercury,Severe,5.71,5.09,12.1,2018,Yes
Odisha,Rourkela,River,Sewage,severe,8.33,7.04,23.2,2018,Yes
Delhi,Karol Bagh,Canal,Arsenic,High,7.82,6.24,22.8,2022,Yes
Maharashtra,Pune,Groundwater,Chromium,Severe,8.07,3.38,32.3,2020,No
Bihar,Bhagalpur,Lake,Chromium,Medium,6.77,6.56,21.6,2017,Yes
Maharashtra,Nagpur,Reservoir,Pesticides,High,7.53,6.43,28.1,2022,Yes
Punjab,Ludhiana,RIVER,Arsenic,high,5.84,6.03,24.7,2015,Yes
Rajasthan,Udaipur,Pond,Fluoride,High,8.08,4.4,23.3,2020,No
Rajasthan,Jaipur,Pond,Chromium,High,7.73,3.28,25.1,2018,No
Karnataka,Bengaluru,groundwater,Fluoride,Severe,6.89,6.26,19.6,2017,no
West Bengal,Kolkata,Borewell,Chromium,Low,7.08,5.69,29.0,2018,No
West Bengal,Durgapur,Borewell,Nitrate,LOW,7.54,6.19,20.0,2019,Yes
Gujarat,Surat,River,CHROMIUM,Medium,8.1,2.67,19.3,2019,Yes
Bihar,Bhagalpur,Pond,Plastic Waste,High,7.68,6.73,33.2,2022,YES
Uttar Pradesh,Varanasi,lake,Chromium,Low,5.87,5.11,25.9,2018,yes
Haryana,Karnal,Borewell,mercury,Severe,8.8,11.0,27.0,2023,No
Haryana,,River,ARSENIC,Severe,6.65,3.52,31.1,2018,No
Uttar Pradesh,,Groundwater,Pesticides,severe,6.53,,26.0,2018.0,No
Maharashtra,Nagpur,Canal,cadmium,Severe,7.55,3.13,27.9,2024,Yes
Odisha,Rourkela,River,sewage,Severe,8.4,7.09,20.2,2019,No
Punjab,Ludhiana,Borewell,Arsenic,LOW,5.53,7.67,27.9,2023,Yes
Uttar Pradesh,Noida,Reservoir,Industrial Waste,Medium,6.76,2.72,32.0,2021,Yes
Bihar,Gaya,Well,Plastic Waste,High,7.28,4.56,30.8,2021,No
West Bengal,Durgapur,Lake,Fluoride,Medium,7.98,5.88,25.0,2024,No
Bihar,Darbhanga,Reservoir,Arsenic,High,7.78,3.08,24.6,2024,Yes
Gujarat,Surat,Well,Pesticides,Low,8.27,5.32,24.1,2019,yes
Punjab,Chandigarh,Reservoir,Industrial Waste,Severe,8.37,1.66,27.8,2015,Yes
Karnataka,Mysuru,Well,Chromium,low,6.4,6.8,17.7,2015,No
Bihar,Bhagalpur,Reservoir,CADMIUM,Medium,6.6,4.25,14.2,2024,No
Delhi,New Delhi,Well,Mercury,High,7.66,5.51,14.8,2015,No
Gujarat,Surat,borewell,Mercury,Severe,5.13,5.46,29.6,2023,No
Delhi,New Delhi,Well,Sewage,Severe,7.33,8.81,22.9,2022,No
West Bengal,Kolkata,Well,LEAD,Severe,5.48,4.05,28.8,2021,Yes
Maharashtra,Aurangabad,Canal,Lead,Medium,6.94,,24.4,2020,Yes
Kerala,Kochi,Canal,Lead,Low,7.62,8.26,27.0,2018,No
Assam,Guwahati,Well,Cadmium,Low,8.61,5.52,22.9,2015.0,No
Maharashtra,Aurangabad,Well,Sewage,Low,7.97,4.36,22.5,2016,No
West Bengal,Kolkata,Lake,Pesticides,SEVERE,6.44,6.84,24.2,2017,Yes
Haryana,Ambala,Pond,Pesticides,Low,8.06,7.86,28.3,2017,No
Bihar,Muzaffarpur,Reservoir,Chromium,High,6.63,6.91,16.6,2020,Yes
Gujarat,Surat,lake,Lead,Severe,8.07,2.3,25.6,2017,Yes
West Bengal,Asansol,River,Lead,Medium,8.58,0.98,20.2,2020,No
Karnataka,Bengaluru,WELL,Fluoride,Low,6.31,4.6,21.4,2019,No
West Bengal,Kolkata,Groundwater,Fluoride,Severe,7.85,5.74,23.3,2024.0,No
Tamil Nadu,Salem, Lake ,Arsenic,Medium,6.44,5.2,21.6,2016,Yes
Madhya Pradesh,Ujjain,River,Mercury, Severe ,8.14,3.98,26.7,2017,No
Rajasthan,Bikaner,Reservoir,FLUORIDE,Severe,6.55,2.71,24.3,2024,Yes
Odisha,Sambalpur,Well,Plastic Waste,Medium,6.8,5.62,16.9,2021,No
Bihar,Bhagalpur,Canal,Mercury,Medium,6.36,5.71,25.2,2017,Yes
Haryana,Faridabad,Canal,Nitrate,Severe,6.58,5.98,21.8,2023,No
Delhi,Karol Bagh,Reservoir,Industrial Waste,Low,7.27,5.97,24.0,2016,Yes
Maharashtra,Nashik,Well,ARSENIC,severe,8.2,6.5,,2021.0,NO
Odisha,Sambalpur,Pond,Plastic Waste,Low,8.95,4.34,28.6,2017,No
Delhi,Rohini,Lake,Arsenic,Medium,6.17,5.8,16.9,2021,No
Rajasthan,Udaipur,Pond,Cadmium,Medium,6.99,7.08,26.4,2022,No
Rajasthan,Kota,groundwater,PESTICIDES,LOW,6.65,2.68,16.5,2024,No
Karnataka,Mangalore,Canal,Lead,Severe,6.33,6.67,31.1,2018,No
Assam,Nagaon,Pond,Arsenic,Medium,5.74,5.35,35.3,2018,No
Tamil Nadu,Salem,CANAL,Arsenic,Low,8.31,4.44,26.2,2023,No
Delhi,New Delhi,Borewell,cadmium,low,6.75,6.55,25.4,2023,Yes
Rajasthan,Jaipur,Lake,Fluoride,High,5.98,5.38,18.6,2016,Yes
Assam,Nagaon,Borewell,industrial waste,SEVERE,5.11,6.63,28.4,2020,No
Maharashtra,Nashik,Groundwater,CHROMIUM,High,7.31,8.2,24.4,2023,No
Gujarat,Bhavnagar,Reservoir,Cadmium,Low,7.67,6.04,26.3,2018,Yes
Kerala,Kollam,Borewell,Arsenic,High,6.77,5.96,30.0,2024,No
Maharashtra,Nagpur,Groundwater,Nitrate,Low,8.81,5.75,22.2,2015,No
Karnataka,Bengaluru,Lake,Pesticides,Medium,6.46,7.12,32.5,2024,Yes
Assam,Silchar,Reservoir,Lead,Medium,5.54,0.99,25.5,2017,Yes
Punjab,Chandigarh,Pond,Plastic Waste,Medium,7.19,6.15,19.4,2018,No
Karnataka,Mysuru,GROUNDWATER,PESTICIDES,severe,7.93,2.77,9.8,2024,Yes
West Bengal,Siliguri,Groundwater,LEAD, Low ,6.87,4.07,22.5,2022,Yes
Punjab,Jalandhar,Canal,Mercury,Medium,7.34,4.42,22.5,2017,No
Punjab,Amritsar,Well,MERCURY,Severe,7.85,5.6,26.1,2018,Yes
Tamil Nadu,Coimbatore, Well ,Mercury,Low,6.24,6.85,27.3,2016,Yes
Madhya Pradesh,Ujjain,canal,,Severe,7.69,8.61,21.7,,YES
Odisha,Sambalpur,LAKE,Arsenic,High,7.73,7.26,24.0,2019,No
Delhi,New Delhi,well,Lead,Medium,6.34,2.95,25.1,2020,
Bihar,Muzaffarpur,River,Nitrate,Low,7.33,6.21,14.4,2023,Yes
Haryana,Gurugram,Well,Nitrate,High,4.99,5.91,21.2,2022,No
Gujarat,Rajkot,POND,Sewage,low,7.72,4.5,24.1,2018,Yes
Karnataka,Bengaluru,Groundwater,Cadmium,LOW,5.4,5.35,19.8,2016,No
Maharashtra,Nashik,Borewell,Nitrate,High,8.35,4.61,21.5,2017,Yes
Delhi,Saket,Pond,Plastic Waste,,6.42,2.51,26.5,2022,no
Haryana,Faridabad,Pond,nitrate,Severe,7.42,9.05,26.3,2017,No
West Bengal,Siliguri,Groundwater,Sewage,Severe,5.86,6.37,19.6,2020,No
Delhi,New Delhi, Borewell ,Plastic Waste,MEDIUM,5.51,7.24,26.7,2018,Yes
West Bengal,Asansol,Pond,Mercury,High,6.3,7.45,17.3,2024,Yes
Rajasthan,Jaipur,Lake,Mercury,High,5.97,6.98,23.7,2017,No
Tamil Nadu,Chennai,Groundwater,Chromium,High,8.59,10.53,24.5,2017,Yes
Odisha,Sambalpur,Groundwater,Plastic Waste,High,7.83,4.98,25.3,2021,No
Madhya Pradesh,Gwalior,Reservoir,Pesticides,Medium,5.4,6.24,18.9,2016,Yes
Kerala,Thiruvananthapuram,River,Arsenic,Low,8.1,3.92,32.6,2015,No
Rajasthan,Jodhpur,Pond,Mercury,High,8.31,7.23,34.8,2015,No
Gujarat,Ahmedabad,Groundwater, Plastic Waste ,severe,7.35,3.91,24.8,2018,No
Assam,Jorhat,Groundwater,Mercury,Low,6.43,7.74,30.1,2020.0,No
Uttar Pradesh,Agra,Reservoir,Pesticides,Severe,7.62,1.78,34.6,2019,No
West Bengal,Howrah,Well, Chromium ,High,8.5,7.7,23.0,2023,No
Kerala,Kollam,Well,Cadmium,High,6.93,3.68,13.6,2018,Yes
Tamil Nadu,Trichy,Canal,,Severe,6.61,6.25,27.0,2017,No
Tamil Nadu,Madurai,Borewell,Sewage,Severe,8.87,6.28,17.6,2016,Yes
Kerala,Thrissur,Well,Lead,Severe,7.63,6.26,26.5,2015,No
Rajasthan,Jodhpur,well,Mercury,Severe,7.09,7.49,22.7,2019,Yes
Punjab,Jalandhar,Canal,Arsenic,Low,8.69,7.21,21.1,2021,Yes
Karnataka,Belgaum,Pond,Sewage,LOW,4.98,5.85,33.6,2019,Yes
Odisha,Sambalpur,Reservoir,Nitrate,Severe,6.13,5.18,26.5,2015.0,No
Rajasthan,Jaipur,Well,Nitrate,Medium,6.93,6.89,20.1,2018,Yes
Uttar Pradesh,Noida,CANAL,Industrial Waste,High,6.22,5.48,24.7,2017,No
Rajasthan,Jodhpur,RESERVOIR,LEAD,High,8.68,4.14,15.7,2019,Yes
Gujarat,Rajkot,Well,Lead,High,8.57,6.8,20.2,2021,no
Gujarat,Ahmedabad,, Nitrate ,Low,6.82,6.04,24.9,2024,No
Uttar Pradesh,Kanpur,River,Plastic Waste,Low,7.26,5.79,31.3,2016,yes
Gujarat,Vadodara,Well,PESTICIDES,low,6.38,7.59,29.3,2018,Yes
Odisha,Bhubaneswar,Canal,Industrial Waste,high,6.86,3.22,26.4,2020,No
Maharashtra,Pune,Well,Mercury, Low ,6.44,4.98,31.1,2018,No
Gujarat,Surat,Borewell,Nitrate,Low,6.46,4.32,20.5,2015,No
Madhya Pradesh,Ujjain,Lake,Chromium,High,6.91,4.52,26.0,2020,No
Rajasthan,Jodhpur,Borewell,Cadmium,Severe,7.87,5.48,21.0,2017,Yes
Tamil Nadu,Trichy,Canal,Arsenic,Medium,6.22,5.63,27.7,2023,Yes
Madhya Pradesh,Gwalior,Canal,Fluoride,High,8.0,5.86,25.3,2022,No
Madhya Pradesh,Jabalpur,Reservoir,Sewage,low,6.01,5.82,31.0,2016,YES
Assam,Nagaon,Reservoir,Chromium,SEVERE,8.05,4.78,27.5,2020,Yes
Maharashtra,Aurangabad,Canal,Plastic Waste,Medium,7.78,5.81,29.8,2023,Yes
Assam,Silchar,Reservoir,Chromium,Medium,6.33,1.96,23.9,2023,No
Rajasthan,Bikaner,Canal,Industrial Waste,SEVERE,7.71,5.05,21.0,2016,No
Rajasthan,Jodhpur,,Cadmium,Severe,6.05,4.38,33.6,2023,Yes
Punjab,Jalandhar,Borewell,Industrial Waste,Severe,7.06,6.43,16.2,2019,No
Haryana,Ambala,Pond,Fluoride,high,7.66,3.73,22.6,2023,Yes
Gujarat,Rajkot,Borewell,Industrial Waste,low,7.98,5.62,18.6,2020,No
Odisha,Cuttack,WELL,ARSENIC, High ,7.18,6.45,23.4,2023,Yes
Gujarat,Vadodara,CANAL,Arsenic,SEVERE,8.04,4.02,28.8,2015,Yes
West Bengal,Asansol,river,Cadmium,MEDIUM,7.03,5.55,28.7,2022,Yes
Bihar,Bhagalpur,Canal,Lead,Severe,7.22,7.76,27.9,2024,Yes
Haryana,Gurugram,Lake,Plastic Waste,Low,7.58,4.81,14.1,2024,Yes
Tamil Nadu,Coimbatore,Reservoir,Sewage,Medium,6.97,7.13,35.7,2017,Yes
Assam,Guwahati,Lake,CHROMIUM,Medium,5.56,3.48,24.5,2019,no
Gujarat,Bhavnagar,Groundwater,Fluoride,Severe,8.3,4.93,22.8,2020,Yes
Maharashtra,Pune,Groundwater,Mercury,High,7.57,4.05,28.5,2015,Yes
Kerala,Thiruvananthapuram,Borewell,MERCURY,High,6.01,2.91,32.0,2015,YES
Punjab,Amritsar,Pond,Industrial Waste,High,7.95,3.41,22.2,2023,No
,Bhavnagar,Well,Lead,High,6.59,6.11,26.3,2020,No
Odisha,Sambalpur,Pond,Sewage,high,7.37,6.7,17.3,2024,Yes
Uttar Pradesh,Agra,Canal,Nitrate,Medium,7.08,7.74,24.6,2023,No
Rajasthan,Kota,Groundwater,Cadmium,HIGH,6.34,5.16,24.9,2022,No
Madhya Pradesh,Jabalpur,Borewell,Industrial Waste,Severe,6.93,4.08,29.1,2020,No
Delhi,Dwarka,Groundwater,Mercury,severe,6.26,10.81,30.2,2023,Yes
Bihar,Patna,River,Sewage,High,7.44,5.4,29.4,2024,No
Kerala,Thrissur,Borewell,Plastic Waste,Low,7.19,6.3,26.1,2022,Yes
Bihar,Bhagalpur,,FLUORIDE,HIGH,6.32,6.33,20.6,2015,yes
Assam,Dibrugarh,,Chromium,Low,6.94,9.28,22.8,2023,Yes
Kerala,Kozhikode,Canal,lead,Severe,6.47,2.18,21.9,2024,No
Rajasthan,Udaipur,LAKE,Plastic Waste,Low,8.05,6.28,24.8,2015,No
Delhi,Rohini,Canal,arsenic,High,6.76,8.51,30.7,2020,Yes
Assam,Nagaon,Pond,Nitrate,High,8.31,8.34,21.4,2021,Yes
Uttar Pradesh,Varanasi,Borewell,Sewage,High,7.38,2.3,29.3,2020,Yes
Punjab,Chandigarh,Pond,ARSENIC,High,5.24,4.94,28.4,2015,No
,Lucknow,Pond,Cadmium,Low,6.11,3.48,20.2,2022.0,No
Assam,Nagaon,Reservoir,Cadmium, Severe ,7.96,5.04,30.3,2024,Yes
Maharashtra,Mumbai,RESERVOIR,Nitrate,Medium,6.8,7.24,20.8,2022,No
Tamil Nadu,Coimbatore,Groundwater,Nitrate,Severe,7.18,3.66,25.0,2016,YES
Bihar,Gaya,pond,Nitrate,High,7.13,4.28,27.1,2018,No
Bihar,Bhagalpur,Reservoir,SEWAGE,Medium,6.95,7.53,24.6,2023,YES
Punjab,Jalandhar, Well ,Plastic Waste,Medium,5.97,5.7,23.8,2022,Yes
Haryana,Karnal,GROUNDWATER,Pesticides,High,7.07,4.72,30.4,2018,Yes
Maharashtra,Mumbai,Pond,lead,Severe,7.29,2.97,21.8,2020,Yes
Madhya Pradesh,Jabalpur,River,Pesticides,Severe,9.18,6.28,17.1,2021,Yes
Tamil Nadu,Coimbatore,Pond,Pesticides,Low,4.5,8.51,19.5,2023,Yes
Haryana,Ambala,River,PLASTIC WASTE,low,7.34,3.76,22.4,2016,No
Gujarat,Vadodara,Borewell,Sewage,Severe,6.95,6.49,17.3,2024,Yes
Haryana,Faridabad,Canal,Arsenic,MEDIUM,5.69,4.94,20.2,2015,No
West Bengal,Howrah,Groundwater,Arsenic,Severe,7.03,6.6,25.9,2021,No
Uttar Pradesh,Varanasi,Reservoir,NITRATE,Medium,8.73,2.75,18.2,2022,Yes
Madhya Pradesh,Ujjain,Lake,,High,7.64,5.08,27.5,2022,Yes
Assam,Silchar,Borewell,Nitrate,High,8.43,4.08,27.5,2019,No
Madhya Pradesh,Gwalior,Lake,Pesticides,high,7.08,4.58,11.2,2015,Yes
Assam,Guwahati,River,Sewage,Severe,8.57,7.18,22.8,2023,Yes
Karnataka,Mysuru,Groundwater,Fluoride,MEDIUM,6.44,5.58,24.3,2023,No
Karnataka,Belgaum,Well,Mercury,Severe,5.58,6.97,17.1,2022,Yes
Karnataka,Mangalore,LAKE,Lead,Medium,7.75,4.36,25.5,2015,Yes
Karnataka,Mangalore,Lake,Mercury,High,4.5,9.26,23.3,2017,Yes
Maharashtra,Aurangabad,Pond,Chromium,Low,,8.33,22.3,2023,Yes
Bihar,Bhagalpur,Well,Lead,Medium,5.61,1.93,16.5,2017,Yes
Delhi,Karol Bagh,canal,NITRATE,Severe,6.56,4.44,28.2,2024.0,Yes
Assam,Dibrugarh,River,Nitrate,Severe,6.96,2.97,23.3,2024,Yes
Bihar,Gaya,Borewell,Mercury,Low,7.88,8.02,20.9,2023,No
Gujarat,Rajkot,Pond,Cadmium,High,4.85,4.61,29.5,2017,No
West Bengal,Siliguri,Groundwater,Mercury,Medium,7.11,5.19,24.1,2015,Yes
Madhya Pradesh,Gwalior,Reservoir,Chromium,MEDIUM,8.83,5.76,26.6,2019,No
Odisha,Bhubaneswar,Pond,Chromium,low,6.86,4.92,15.1,2020,Yes
Punjab,Jalandhar,Canal,Nitrate,High,6.27,4.6,28.6,2024,No
Gujarat,Rajkot,Lake,Chromium,Medium,7.0,6.29,30.0,2022,No
Gujarat,Bhavnagar,Lake,Cadmium, Medium ,8.26,8.27,31.9,2016,No
Haryana,Faridabad,Lake,Plastic Waste,Severe,7.07,6.84,26.4,2020,No
Tamil Nadu,Madurai,River,Pesticides,High,5.58,3.61,29.0,2016,No
Gujarat,Vadodara,Reservoir,Chromium,Severe,7.86,7.63,18.2,2017,Yes
Karnataka,Belgaum,WELL,ARSENIC, Medium ,6.55,4.09,20.2,2018,NO
Uttar Pradesh,Lucknow,Borewell,Lead,Severe,6.18,2.3,21.3,2017,No
Karnataka,Hubli,Canal,Pesticides,Severe,6.34,3.88,20.8,2022,Yes
Maharashtra,Nagpur,River,Arsenic,Medium,8.03,8.34,18.9,2022,yes
Delhi,Rohini,Borewell,,Low,7.17,6.41,31.2,2017,Yes
Madhya Pradesh,Jabalpur,Pond,Plastic Waste,Medium,6.93,,18.7,2019,Yes
Gujarat,Rajkot,Reservoir,Mercury,Severe,6.88,7.53,19.6,2021,No
Odisha,Rourkela,Groundwater,Cadmium,Medium,7.32,9.73,20.4,2020,Yes
Rajasthan,Kota,Canal,Lead,medium,6.01,6.98,28.4,2015,Yes
Tamil Nadu,Coimbatore,Lake,Fluoride,Low,7.04,5.51,20.7,2015.0,No
Punjab,Amritsar,BOREWELL,Arsenic,Severe,7.62,3.22,32.5,2016,Yes
Haryana,Karnal,Well,Industrial Waste,Medium,7.22,2.06,15.4,2016,Yes
Assam,Silchar,Borewell,plastic waste,Severe,7.91,2.67,29.4,2018,Yes
Madhya Pradesh,Gwalior,Canal,Pesticides,Medium,7.38,2.72,21.3,2019,Yes
Gujarat,Bhavnagar,Pond,CHROMIUM,Medium,7.7,4.82,31.8,2018,Yes
Delhi,Dwarka,Groundwater,arsenic,LOW,7.69,7.71,23.5,2015,No
